Endothelial	InnateLymphoid	Leydig	Macrophage	Myoid	Sertoli	Unknown
1700019N19Rik	0.125297504560921	0.385492465170712	0.104091676876123	0.315901212315578	0.446284222431948	0.807722667445743	0.274415842402776
1700019O17Rik	0.0289791359474702	0	0.00291136107296158	0.0940021501369322	0	0.0862221110684272	0.00874107457982135
1700019P21Rik	0.0748971047997032	0	0.00954679416404156	0.0488524993217851	0	0.096327340685186	0.0253989147799228
1700020A23Rik	0.046170560582221	0.0327520170039835	0.0400438543535414	0.070659274183118	0	0.283916551477975	0.0409733007476513
1700020D05Rik	0.165349446679292	0.263454498102884	0.189638799171373	0.349236594583887	0.617260624034609	0.438661853254833	0.307768505096413
1700020G17Rik	0.0662212977049172	0.090164111235782	0	0.0869634701112437	0	0.27659873454167	0.0679637727073904
1700020I14Rik	1.40756664347989	1.28808156230425	0.797793614586917	0.906862151862801	1.36059766450838	0.938449701059688	0.676602355627803
1700020L24Rik	0.106642694525466	0	0.0230043489380962	0.117700050247631	0	0.131918057968579	0.0983063361168113
1700020N01Rik	0.0625849397764998	0.0665812120088885	0.0734542957404233	0.212429464279876	0	0.2047106388613	0.101600811831389
1700020N15Rik	0.0283866328896472	0.0497852974283617	0.0160265316288877	0.00602940307566936	0.109065371687096	0.208869043160837	0.0422637821674838
1700020N18Rik	0.0229162850346466	0	0	0.221930964663438	0.142353999329112	0.097674216929429	0.036838478547549
1700021F05Rik	0.426371667150748	0.192084689372753	0.421907515298461	0.406863922599556	0.757908480486498	0.394080998926807	0.40467021204585
1700021F07Rik	0.0676442766232683	0.181525738599705	0.0932353349476695	0.278200281142618	0.342405296287145	0.572350054188933	0.179135018078382
1700021J08Rik	0	0	0.0030276061882603	0.0617849702897384	0	0.0456664456308569	0.0194098756240688
1700021K19Rik	0.233108490848629	0.0778870182159921	0.0991517675634801	0.425495338002021	0.335493867162522	0.32709048823632	0.194867177136143
1700021N21Rik	0	0	0	0.0280897010712679	0.161932528274409	0.0862792171683811	0.0318078822237353
1700021P04Rik	0	0	0	0	0	0.019589838454901	0
1700022A21Rik	0.0704006947630288	0.0592899689731734	0.0577507128826458	0.133396564856826	0.0684406620565912	0.417912957489121	0.109583225170904
1700022A22Rik	0	0.0775774976775453	0.0253416951719145	0.108175636985929	0	0.0665048020923649	0.0151104695817371
